run,query_name,attribute,swap_type,swap_index,log_prob
0,e1',a0',attribute,0,-7.029684066772461
0,e1',a1',attribute,0,-9.50350284576416
0,e1',a0,attribute,1,-2.1533212661743164
0,e1',a1,attribute,1,-5.760248184204102
0,e1',a0',attribute,1,-8.971258163452148
0,e1',a1',attribute,1,-8.361831665039062
1,e0,a0,entity,0,-0.10082390159368515
1,e0,a1,entity,0,-5.242656230926514
1,e0,a0',entity,0,-19.516517639160156
1,e0,a1',entity,0,-13.263371467590332
1,e0,a0,entity,1,-0.009967081248760223
1,e0,a1,entity,1,-8.203042030334473
1,e0,a0',entity,1,-21.82911491394043
1,e0,a1',entity,1,-15.907493591308594
1,e0,a0,attribute,0,-10.889171600341797
1,e0,a1,attribute,0,-6.615407943725586
1,e0,a0',attribute,0,-13.721274375915527
1,e0,a1',attribute,0,-11.987048149108887
1,e0,a0,attribute,1,-0.01169762946665287
1,e0,a1,attribute,1,-14.58519172668457
1,e0,a0',attribute,1,-21.426870346069336
1,e0,a1',attribute,1,-8.961663246154785
1,e1,a0,entity,0,-10.437312126159668
1,e1,a1,entity,0,-0.7192376852035522
1,e1,a0',entity,0,-23.318450927734375
1,e1,a1',entity,0,-16.72894287109375
1,e1,a0,entity,1,-5.678685188293457
1,e1,a1,entity,1,-0.1391250342130661
1,e1,a0',entity,1,-20.361190795898438
1,e1,a1',entity,1,-14.245062828063965
1,e1,a0,attribute,0,-16.388418197631836
1,e1,a1,attribute,0,-0.7228344678878784
1,e1,a0',attribute,0,-20.73688507080078
1,e1,a1',attribute,0,-15.881813049316406
1,e1,a0,attribute,1,-6.649650573730469
1,e1,a1,attribute,1,-5.205563545227051
1,e1,a0',attribute,1,-18.54347038269043
1,e1,a1',attribute,1,-0.8697338700294495
1,e0',a0,entity,0,-0.15815764665603638
1,e0',a1,entity,0,-2.3251116275787354
1,e0',a0',entity,0,-18.694726943969727
1,e0',a1',entity,0,-9.508485794067383
1,e0',a0,entity,1,-0.9568086862564087
1,e0',a1,entity,1,-0.8843981027603149
1,e0',a0',entity,1,-15.511774063110352
1,e0',a1',entity,1,-6.528680324554443
1,e0',a0,attribute,0,-5.147981643676758
1,e0',a1,attribute,0,-1.4757792949676514
1,e0',a0',attribute,0,-12.179744720458984
1,e0',a1',attribute,0,-5.620033264160156
1,e0',a0,attribute,1,-0.633790135383606
1,e0',a1,attribute,1,-5.702320098876953
1,e0',a0',attribute,1,-16.44072723388672
1,e0',a1',attribute,1,-1.0177279710769653
1,e1',a0,entity,0,-0.5405895709991455
1,e1',a1,entity,0,-1.2665207386016846
1,e1',a0',entity,0,-16.460317611694336
1,e1',a1',entity,0,-7.139267921447754
1,e1',a0,entity,1,-1.222029447555542
1,e1',a1,entity,1,-0.5128695964813232
1,e1',a0',entity,1,-17.790340423583984
1,e1',a1',entity,1,-8.623568534851074
1,e1',a0,attribute,0,-5.273873329162598
1,e1',a1,attribute,0,-1.6924335956573486
1,e1',a0',attribute,0,-12.194783210754395
1,e1',a1',attribute,0,-5.677341461181641
1,e1',a0,attribute,1,-0.743442952632904
1,e1',a1,attribute,1,-6.399973392486572
